,createdate,username,followers,text
36,2023-06-25 16:54:10+00:00,DJPearcy92,276,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
37,2023-06-25 16:34:44+00:00,toria24jones,5,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
38,2023-06-25 13:34:56+00:00,sammiejane64,74,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint 
 ☠️☠️☠️☠️☠️☠️☠️☠️"
39,2023-06-25 12:39:24+00:00,oilymarc,13,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
40,2023-06-25 12:34:43+00:00,rrivaderci8,0,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
41,2023-06-25 12:12:20+00:00,nicolasadler,965,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.   #DontSearchTwirlMint"
42,2023-06-25 11:48:14+00:00,ToniBoult,34,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
43,2023-06-25 11:31:50+00:00,millardfamily,73,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
44,2023-06-25 10:53:54+00:00,jos53061,7,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
45,2023-06-25 10:20:11+00:00,muhmuhbla,56,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
46,2023-06-25 10:07:44+00:00,chriswinston15,344,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
47,2023-06-25 09:36:04+00:00,ClaireBurgess,809,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
48,2023-06-25 09:12:32+00:00,emilylou18,1124,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
49,2023-06-25 07:13:00+00:00,TReddy47546842,10,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
